"Nível 1","Nível 2","Nível 3","Nível 4","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Agropecuária","Agricultura","Lavoura Temporária","Arroz","385025.82031125907","337489.9675620949","456325.5792030557","478541.1403799227","400208.6548818486","265459.46238479455","200916.20775596815","318018.5983329051","477610.7573335825","231562.24466724115","256999.07204601786","299634.2652238091","515445.79984795296","316771.5150358887","590249.7143363891","697933.7044667413","558839.2144713498","540317.0210104245","408538.85590849613","658015.4444628205","717515.9733377566","705688.5344927286","823298.6501873728","720724.2554313147","932591.9072660205","806088.122499372","687119.1450330475","699782.4992254362","547010.6796192809","866328.0186526435","1089250.1777415145","1139926.5792391745","1224394.5630095152","1224901.5328267035","1241651.8095865154","1249406.667633576","1349700.8756337697","1448329.6363315808","1301523.448059568","1126243.6752173759"
"Agropecuária","Agricultura","Lavoura Temporária","Soja","4488280.364081817","6485236.175104967","8425216.894924566","9663315.822349355","9994557.16279957","10560646.10426471","10949229.943980936","11045732.041943714","11469296.579127885","12131192.986106709","12422651.121734722","12710906.82258745","12836750.492443731","13194186.1173871","14284250.125751533","15998219.724304248","16020246.241563324","17392391.732098695","18443251.532744374","19992227.02221433","22352322.105772994","22987962.44687822","23037773.689668298","22453138.890855744","23119218.2965918","24406370.848291244","24695805.382481694","25895295.7686906","26331608.258488275","28271884.623778287","30734044.035410695","32404684.01192273","34764509.06681602","35795714.9258308","36589037.705661714","37021177.64692819","38010378.40566572","39203694.70800956","39801892.223767586","40727268.34832835"
"Agropecuária","Agricultura","Lavoura Temporária","Cana","2153494.504379016","2303591.228581784","2452540.5956617696","2702105.9928787854","2907458.4297609054","3056597.134481553","3205618.1570163644","3350737.327229512","3617238.2272684476","3783279.6273472705","3938204.071558704","4167338.9477261435","4290594.963841586","4338050.827930392","4438399.266897741","4471996.680838641","4511374.753076503","4823212.263081704","5086210.493730407","5400707.575955073","5696270.363771473","6046211.929318958","6737972.955165677","7696851.124687983","8308490.605218144","8594080.883302394","8875433.348679796","9242666.805766301","9782847.51632566","10255603.271816127","10525111.45464692","10635504.957249828","10678049.768232187","10662150.088153383","10533473.730770271","10597856.05063719","10513736.942630682","10520459.302796757","10287750.695157709","10080483.883771924"
"Agropecuária","Agricultura","Lavoura Temporária","Algodão","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9195.339433831876","28891.074837249253","82663.67810111599","37659.96410734854","52516.66343016372","70566.54527267425","108444.64369573958","142376.28088563276","167009.66240354","152503.14986516637","131902.0874532645","155457.00951876998","125560.99310482063","55157.51908796319","108000.89161452041","128776.1397607062","84496.11112963979","118545.52691079669","136078.36186299915","102192.63633739512","193529.66145147796","219854.02554712057","260080.89177840928","263951.62947723083","157200.33572440228"
"Agropecuária","Agricultura","Lavoura Temporária","Outras Lavouras Temporárias","10810805.648988957","9106104.033991637","8568592.991318788","8545703.328124782","9575312.566964418","10714010.074297244","12353891.383713515","12708085.279963342","12850168.80732504","13069251.250616418","13293019.264808066","13602721.183444925","13668159.010006398","13998155.804163989","13349141.292432886","12407625.705560198","13579466.159106443","12791067.824972447","12461536.992780466","12247344.486836936","11448146.628968481","12371205.441818973","13001077.881855492","14104477.983496232","13790429.22437183","13295954.445713835","13435237.321017774","12911084.906788366","14007293.505255023","13313323.538286187","12191838.597939152","11897164.195144156","11008428.646034475","10503793.336571284","10525258.841284225","10593766.408481603","9863748.601077877","8768385.22303047","8580821.737900253","8124079.315193104"
"Agropecuária","Silvicultura","","","1563312.0044760436","1601292.4493247562","1758228.855083197","2221607.6173125217","2402542.1278302614","2565199.708121499","2892746.6156582525","3032061.9437523857","3144377.0592920636","3288822.4414016497","3378013.0621888074","3453356.8007697025","3548310.554216661","3601138.1939176503","3676686.149693701","3798163.1956078685","3860123.330750639","3943858.814830728","4031632.9817232336","4168606.503088826","4377656.39952033","4593032.308338933","4866800.448875043","5190699.545845114","5647526.317105299","6098019.413252391","6468029.996589491","6878034.152899328","7365761.385779784","7653997.824341901","7873104.3265234595","8058439.763564368","8190961.573784048","8296797.303566074","8516631.660946533","8631818.694700534","8760503.48820438","8818810.708984626","8831191.19487175","8948339.486558933"
"Agropecuária","Mosaico de Usos","","","51791489.874789715","47214322.45609754","43273391.741175555","40515633.82113776","38806921.52231595","37187533.70410491","35289512.87997488","34732051.088110775","34511137.37934755","34465784.7319645","34582004.50565357","34380195.231765814","34161368.77100644","34039219.42151242","33616281.38326851","33069986.891873557","33109768.93524602","33288972.801325295","34269363.15089363","34418559.753619924","34147353.839407556","33632703.37273029","33403208.807818554","33470896.581053004","33373042.30690281","33370843.360712867","33633133.58927372","33844253.79809956","33784482.41983332","33093435.7016659","32616239.828171223","32293195.29109822","32324007.948564943","32926816.215170566","33910068.73036413","35393964.071763","37430484.51137982","39602569.16434762","42810704.77518722","46553668.936545946"
"Agropecuária","Pastagem","","","92263477.42693867","99544874.75725822","106159709.95837326","110722503.23650444","114034867.35719274","116777649.9478394","119440304.89246532","123104131.46564765","125916280.82049839","128482717.11111349","131730465.9621987","134791212.28398538","137831817.53983414","141083586.2786987","144001144.81118605","146258227.9501883","147998924.65951446","149825137.7900382","152264309.98574954","154005694.99696764","155305811.46939397","156070236.24287975","156338208.68753004","156522288.62874934","156239998.83806542","155898568.3635202","155720396.07733834","155573344.42126924","155169457.21741864","155049885.054335","155162965.97021297","155252553.35016903","154669639.823438","154471305.20199096","154751391.97396356","154705981.0410835","155248598.6360327","155975201.51455593","156241547.94098422","155005479.44160986"
"Área Não Vegetada","","","","3927630.8578625796","3830231.568517116","3790771.8621139275","3828256.0474632885","3864794.722755677","3880207.6118719596","3904830.3481048653","3967868.0332471984","4025816.271648359","4092185.114612232","4211439.751977801","4316507.332809472","4378452.622239944","4459541.842129104","4559892.902773163","4666908.3428374035","4738044.774158869","4803474.120377447","4876343.596910998","4917467.9791502375","4955139.094264264","4981359.208983414","5011388.179524109","5076546.304310264","5142325.314610432","5178598.43389702","5218200.915504722","5301388.393537699","5425121.856492136","5532126.948155219","5629680.110668153","5723714.437379054","5792639.380781522","5872936.127316389","5955917.337451287","6092492.573723273","6211472.553918048","6319869.986858906","6445539.264698493","6629717.0173083395"
"Área Não Vegetada","Usina Fotovoltaica","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","822.3136256774952","1687.6132035400176","3535.0399860412226","5088.782849639868","6586.538325567597","9880.766893225044","16856.945035784818","24726.684791021475","35317.96425171475"
"Área Não Vegetada","Outras Áreas Não Vegetadas","","","1628002.6135844067","1456891.3665442534","1345455.2237472942","1292965.8274727392","1245201.1301020274","1190078.9067609434","1142864.6847222059","1110909.3464774187","1075921.114093635","1043506.2106360755","1040286.8426876093","1028824.6387000636","1011824.117862898","1022390.4504750395","1045590.0301562175","1074860.0034826386","1088008.2224606462","1094022.2936781254","1110581.0518443226","1102206.5899504093","1094729.4496577277","1071022.8715443024","1050353.8785209295","1057115.9935171606","1051470.9926445584","1011100.4342693766","960862.3250488082","944913.209703285","972693.8480797965","997627.9224042385","1013307.721115107","1019087.9631682594","998601.2816013934","994835.6214066301","989552.8871983261","958784.4132481499","951407.3879846346","927342.4784139382","956395.2184141729","1032460.042653535"
"Área Não Vegetada","Mineração","","","53209.726692742894","60180.74715747693","70560.41223015173","82818.77046871977","98611.719419068","107181.98906579628","110611.91707362728","118504.01739413534","123739.47328850164","128803.87002374386","133934.20771539962","135868.92436792646","140614.2694657538","145401.56898203737","149918.572796887","159495.0625990353","163451.43584273703","166981.33794778428","171381.99832642803","175683.31366335423","180137.02168627275","183622.36822023854","188907.5958366749","197068.8441490959","204251.61360928862","210956.0869534775","220436.81619883302","231823.01615386285","244540.89965426468","254972.51055183","266908.02220823866","281055.38657803903","295819.7874705504","308968.5228918265","327279.7933579032","424152.01556323626","477422.93680702336","530101.1697742231","575745.7830638153","609636.6888986372"
"Área Não Vegetada","Praia, Duna e Areal","","","443686.70629734476","443313.07454985485","458047.6773558701","462214.6173044182","461679.2785975089","454534.3835133312","449164.2050639588","451682.46848813386","454470.41727449675","455105.1454487298","465674.9816284842","473778.43134425336","465948.8286311657","453148.40017264587","446839.1062933453","444290.56802335306","440992.90794637275","440802.73467912874","437193.21367592213","429957.99024471646","424564.91537111945","424237.63634149043","420902.2761208076","414469.8333636105","417164.68601512705","423024.39901146106","431856.8814855146","439193.8568177123","439517.1985176471","436651.5080420428","432554.42065008916","431036.73337368615","428519.0292187236","424609.338543583","418653.86666199856","414049.0960291967","409545.8982526224","406181.1079645244","403026.365834461","402106.0374463728"
"Área Não Vegetada","Área Urbanizada","","","1802731.811288085","1869846.380265531","1916708.5487806115","1990256.8322174111","2059302.5946370729","2128412.3325318885","2202189.541245073","2286772.2008875106","2371685.2669917257","2464769.888503683","2571543.7199463076","2678035.3383972296","2760065.406280126","2838601.4224993815","2917545.193526713","2988262.7087323763","3045592.2079091133","3101667.7540724096","3157187.333064326","3209620.0852917577","3255707.707549144","3302476.332877382","3351224.429045697","3407891.633280397","3469438.0223414577","3533517.5136627047","3605044.8927715663","3685458.3108628388","3768369.910240427","3842875.007157107","3916909.946694718","3991712.0406333916","4068011.6692873146","4140987.6044883085","4215342.007383419","4288920.5105571225","4363215.563980542","4439388.285670435","4485645.212595022","4550196.284058079"
"Água e Ambiente Marinho","","","","20203950.486328922","18833321.266819876","19409634.35897383","21042072.684863992","20738777.340431873","19720668.859519254","21180895.67401697","20510609.57120911","20490104.427119765","19252419.070516597","20291206.204568937","19748700.105394084","20101615.74216034","19098250.200382203","20231892.190461393","18384464.896856107","17811377.704696376","18482940.86789231","18088558.38170844","18202182.134184286","18363060.32619284","18931961.47174317","19051798.53081702","18929188.893839017","18519648.296154685","18234091.756769475","18877503.72886059","18051687.986278523","17852420.30428191","18392786.611317266","17554602.854912635","17309054.09681579","17569125.803709965","18067430.24796742","17657446.345238913","17358038.246593136","17407846.691370845","18686827.870246705","18385159.774597943","17660791.251279034"
"Água e Ambiente Marinho","Rio, Lago e Oceano","","","20178951.90582901","18806421.766004257","19379993.023934957","21010969.23845778","20706634.8012489","19687760.235344134","21147602.75311445","20477065.622562066","20456847.86295733","19219161.16531319","20257594.86414711","19715441.298268296","20067931.86159894","19063766.3773795","20196200.984224577","18346378.831232384","17769719.80428127","18439385.14588209","18042922.724005964","18155637.14709655","18316102.030347608","18884892.31241114","19004025.036155447","18878934.44277601","18466621.982308134","18178781.10110163","18817943.043507125","17988961.174987704","17787383.31262184","18325882.91456343","17485171.74053172","17236351.880158655","17494381.065534916","17991020.134593293","17579700.24030034","17281983.243894488","17332484.636154335","18611572.244680606","18309777.596032586","17579798.839348577"
"Água e Ambiente Marinho","Aquicultura","","","24998.58049991436","26899.50081561888","29641.335038873567","31103.446406213294","32142.53918297133","32908.62417512118","33292.9209025203","33543.94864704546","33256.56416243872","33257.90520340584","33611.34042182623","33258.807125787396","33683.88056140131","34483.82300270395","35691.206236816586","38086.065623724346","41657.900415106364","43555.722010223086","45635.6577024776","46544.987087737776","46958.29584523291","47069.15933203086","47773.494661571924","50254.45106300642","53026.31384655076","55310.65566784649","59560.68535346561","62726.811290819496","65036.99166007033","66903.69675383854","69431.11438091345","72702.21665713453","74744.73817504803","76410.1133741264","77746.1049385736","76055.00269865037","75362.05521650892","75255.62556610005","75382.17856535515","80992.41193045578"
"Não Observado","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
